station,time,train,platform,route,delayedTime,information,timestampScraping
Mannheim,15:05,RNV 9,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:05 - Berliner Platz, Ludwigshafen am Rhein 15:09",15:05,,2021-12-24 14:48:04.216929
Mannheim,15:05,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:05 - Kunsthalle, Mannheim 15:07",15:05,,2021-12-24 14:48:04.218386
Mannheim,15:06,S 9,12,Mannheim Hbf 15:06 - Mannheim-Neckarau 15:09,15:06,Gleiswechsel,2021-12-24 14:48:04.219803
Mannheim,15:06,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:06 - Universität, Mannheim 15:08",,,2021-12-24 14:48:04.221065
Mannheim,15:06,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:06 - Kunsthalle, Mannheim 15:07",,,2021-12-24 14:48:04.222351
Mannheim,15:06,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:06 - Kunsthalle, Mannheim 15:08",,,2021-12-24 14:48:04.223626
Mannheim,15:07,S 2,10,Mannheim Hbf 15:07 - Mannheim ARENA/Maimarkt 15:11,15:10,,2021-12-24 14:48:04.224844
Mannheim,15:08,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:08 - Kunsthalle, Mannheim 15:10",15:08,,2021-12-24 14:48:04.226118
Mannheim,15:08,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:08 - Universität, Mannheim 15:10 - Schloss, Mannheim 15:11 - Paradeplatz, Mannheim 15:13 - Marktplatz, Mannheim 15:15 - Abendakademie, Mannheim 15:17",,,2021-12-24 14:48:04.227318
Mannheim,15:08,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:08 - Universität, Mannheim 15:10",,,2021-12-24 14:48:04.228618
Mannheim,15:09,RNV 4A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:09 - Universität, Mannheim 15:11",15:09,,2021-12-24 14:48:04.229999
Mannheim,15:09,Bus 65,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:09 - Schloss, Mannheim 15:12 - Universität West, Mannheim 15:13 - Akademiestraße, Mannheim 15:14 - Teufelsbrücke, Mannheim 15:15 - Popakademie, Mannheim 15:16",,,2021-12-24 14:48:04.231329
Mannheim,15:12,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:12 - Lindenhof MA Hauptbahnhof Süd, Mannheim 15:14",15:12,,2021-12-24 14:48:04.232717
Mannheim,15:13,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:13 - Tattersall, Mannheim 15:15",,,2021-12-24 14:48:04.234007
Mannheim,15:15,S 6,1,Mannheim Hbf 15:15 - Ludwigshafen(Rhein) Mitte 15:17,15:16,,2021-12-24 14:48:04.235182
Mannheim,15:15,RE 60 (4670),7b,Mannheim Hbf 15:15 - Neu-Edingen/Friedrichsfeld 15:26 - Ladenburg 15:31,15:15,Gleiswechsel,2021-12-24 14:48:04.236750
Mannheim,15:15,RNV 4A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:15 - Kunsthalle, Mannheim 15:17",15:15,,2021-12-24 14:48:04.238011
Mannheim,15:16,ICE 72,3,Mannheim Hbf 15:16 - Frankfurt(Main)Hbf 15:52 - Kassel-Wilhelmshöhe 17:19 - Göttingen 17:38 - Hannover Hbf 18:17 - Hamburg Hbf 19:35 - Hamburg Dammtor 19:41 - Hamburg-Altona 19:50,15:18,,2021-12-24 14:48:04.239151
Mannheim,15:16,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:16 - Universität, Mannheim 15:18",,,2021-12-24 14:48:04.240422
Mannheim,15:16,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:16 - Kunsthalle, Mannheim 15:18",,,2021-12-24 14:48:04.241761
Mannheim,15:17,RNV 9,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:17 - Tattersall, Mannheim 15:19",15:17,,2021-12-24 14:48:04.243028
Mannheim,15:18,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:18 - Kunsthalle, Mannheim 15:20",,,2021-12-24 14:48:04.244377
Mannheim,15:18,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:18 - Universität, Mannheim 15:20",,,2021-12-24 14:48:04.245779
Mannheim,15:18,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:18 - Universität, Mannheim 15:20",15:18,,2021-12-24 14:48:04.247239
